bin_num,bin_typ,stk_hu,mat_cod,stk_qty
PK.02.101.01,PD03,REC000767843,5ACEFFF2D6111EDD9B8CC879330A426D,380
PK.02.115.01,PD03,REC000767872,5ACEFFF2D6111EDD9B8CC8661E1E426D,140
PK.02.116.01,PD03,REC000666856,5ACEFFF2D6111EDBAF92A3363D3A8CE4,300
PK.02.117.01,PD03,REC000666870,5ACEFFF2D6111EDBAF92A3363D3A8CE4,576
PK.02.118.01,PD03,REC000697466,5ACEFFF2D6111EDD9C971E9587CB1248,576
PK.02.126.01,PD03,REC000712398,5ACEFFF2D6111EDBAF92A3371549CCE7,1060
PK.02.127.01,PD03,QUA000040961,5ACEFFF2D6111EDD9B8CC8633D83026D,792
PK.02.130.01,PD03,REC000780908,5ACEFFF2D6111EDD9B8CC8606F92826D,40
PK.03.005.01,PO02,REC000773472,5ACEFFF2D6111EED9D98E7C81FCF495E,148
PK.03.011.01,PO02,REC000467619,5ACEFFF2D6111EDBAF92AA7C27B8CD31,39
PK.03.012.01,PO02,REC000739961,5ACEFFF2D6111EEC9E8CE0C1FC71C0C2,3
PK.03.013.01,PO02,REC000607714,5ACEFFF2D6111EEC94D54544BB279F59,1
PK.03.015.02,PO02,REC000703166,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.03.016.01,PO02,REC000693200,5ACEFFF2D6111EDBAF92ABCF55ED4D45,34
PK.03.018.01,PO02,REC000696397,5ACEFFF2D6111EEC97CD7E9A57F6C7C7,80
PK.03.021.01,PO02,REC000614718,5ACEFFF2D6111EDBAF965867CED28CCA,221
PK.03.022.01,PO02,REC000614719,5ACEFFF2D6111EDBAF9131EFC9B50D78,38
PK.03.023.02,PO02,REC000581370,5ACEFFF2D6111EDBAF913FDA65BC0D36,70
PK.03.024.01,PO02,REC000727764,5ACEFFF2D6111EDBAF92A122936ECCD7,132
PK.03.026.01,PO02,REC000663618,5ACEFFF2D6111EDBAF913FC7F3E88CC1,32
PK.03.027.02,PO02,REC000649470,5ACEFFF2D6111EDBAF9655F4A34E0CD0,79
PK.03.032.01,PO02,NAC000162932,5ACEFFF2D6111EEC94D51CA99DC01ECF,7
PK.03.033.01,PO02,REC000731728,5ACEFFF2D6111EDBAF91429813E68D37,2907
PK.03.034.01,PO02,REC000632503,5ACEFFF2D6111EDBAF92AA76FEDCCCD5,144
PK.03.034.02,PO02,REC000703167,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.03.043.01,PO02,REC000778308,5ACEFFF2D6111EDBAF9673D34B978D41,124
PK.03.044.01,PO02,REC000652785,5ACEFFF2D6111EDBAF92AAB0A5CECCCF,22
PK.03.045.01,PO02,REC000780145,5ACEFFF2D6111EDBAF9673D1BC990D49,14
PK.03.047.01,PO02,REC000774833,5ACEFFF2D6111EED9D98E7DF5DE5C95E,984
PK.03.048.01,PO02,REC000750641,5ACEFFF2D6111EDBAF92ACB1A733CD21,18
PK.03.048.02,PO02,REC000702814,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.03.050.01,PO02,L00006679076,5ACEFFF2D6111EEC94D52F94B9AB1F69,149
PK.03.051.01,PO02,REC000778938,5ACEFFF2D6111EDBAF96707F6E5C4D58,471
PK.03.052.01,PO02,REC000713398,5ACEFFF2D6111EDBAF93A46C09778CF2,15
PK.03.053.01,PO02,REC000774419,5ACEFFF2D6111EED9DC6F02793B8D010,310
PK.03.054.02,PO02,REC000590022,5ACEFFF2D6111EDBAF913FD9D04D0CC6,279
PK.03.056.01,PO02,REC000666795,5ACEFFF2D6111EEC94D52397E5F9DF4F,4
PK.03.058.01,PO02,REC000681654,5ACEFFF2D6111EDBAF964FAFAA470D65,12
PK.03.059.01,PO02,NAC000141550,5ACEFFF2D6111EDC95866E6C1AA6C4B3,8
PK.03.059.02,PO02,REC000702815,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.03.060.02,PO02,REC000703165,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.03.062.01,PO02,REC000774804,5ACEFFF2D6111EDBAF92ACF5DA25CCC9,2
PK.03.062.02,PO02,REC000703169,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.03.063.01,PO02,REC000532420,5ACEFFF2D6111EDBAF92A2441BE44D02,240
PK.03.065.01,PO02,REC000491056,5ACEFFF2D6111EDBAF9650761D15CD36,8520
PK.03.066.01,PO02,REC000781914,5ACEFFF2D6111EDBAF913B985E1A4CE3,40
PK.03.067.01,PO02,REC000738636,5ACEFFF2D6111EED8D9FF28B1F959836,160
PK.03.068.01,PO02,00000000006000317702,5ACEFFF2D6111EDBAF966FB88F0FCCC0,68
PK.03.069.01,PO02,REC000764152,5ACEFFF2D6111EDD8FD3E068A1FC1B70,85
PK.03.072.01,PO02,REC000776523,5ACEFFF2D6111EDBAF92A061B20A4D0E,28
PK.03.073.01,PO02,REC000779618,5ACEFFF2D6111EDBAF92A93030284CBB,4
PK.03.074.01,PO02,REC000745243,5ACEFFF2D6111EDBAF92A81E959BCD63,22
PK.03.074.02,PO02,REC000667948,5ACEFFF2D6111EDBAF92A82F497A4CBB,18
PK.03.075.01,PO02,REC000766726,5ACEFFF2D6111EEDA8C7357606EAD23B,1
PK.03.075.02,PO02,REC000618849,5ACEFFF2D6111EDBAF92ABC798174CD6,324
PK.03.076.01,PO02,REC000737105,5ACEFFF2D6111EDBAF91259A604F4D28,95
PK.03.077.01,PO02,REC000745951,5ACEFFF2D6111EECBF8D78D67D514B19,328
PK.03.078.01,PO02,REC000677954,5ACEFFF2D6111EDBAF92A960F4A28CCD,24
PK.03.083.01,PO02,REC000761116,5ACEFFF2D6111EDBAF913C3DDC720D64,28
PK.03.084.01,PO02,NAC000108180,5ACEFFF2D6111EDBAF9121D934DF0CC4,3
PK.03.085.01,PO02,NAC000141738,5ACEFFF2D6111EDD8188E88BA8F6846A,58
PK.03.087.01,PO02,NAC000145776,5ACEFFF2D6111EDBAF9675C3326FCD14,2170
PK.03.088.02,PO02,REC000751908,5ACEFFF2D6111EEC94D54227E8C99F5E,15
PK.03.089.01,PO02,REC000776252,5ACEFFF2D6111EDDB199823A107EDDDF,100
PK.03.091.01,PO02,REC000749868,5ACEFFF2D6111EDBAF913DB680784D24,157
PK.03.092.01,PO02,REC000781948,5ACEFFF2D6111EDBAF91449489110D02,72
PK.03.092.02,PO02,REC000533612,5ACEFFF2D6111EDBAF92A25E2FC54CC9,246
PK.03.093.01,PO02,REC000702056,5ACEFFF2D6111EDBAF92A2C3435A0D1C,84
PK.03.093.02,PO02,NAC000089492,5ACEFFF2D6111EDBAF911EA52C5D8D47,222
PK.03.094.01,PO02,REC000697302,5ACEFFF2D6111EDBAF96707950CDCCC5,7
PK.03.095.02,PO02,REC000425710,5ACEFFF2D6111EDBAF92AAD76CC54CDE,42
PK.03.096.01,PO02,REC000691864,5ACEFFF2D6111EDC9BF849D4CD0B4D86,1
PK.03.097.01,PO02,NAC000097700,5ACEFFF2D6111EEC94D52F8D797B5F58,29
PK.03.098.01,PO02,NAC000164378,5ACEFFF2D6111EDBAF9672E9395C4D00,27
PK.03.100.01,PO02,NAC000158868,5ACEFFF2D6111EDDADD4E239716091F6,264
PK.03.105.02,PO02,NAC000135897,5ACEFFF2D6111EECB4D8BB943DFD8E24,50
PK.03.106.01,PO02,REC000533303,5ACEFFF2D6111EDBAF92A87043F5CD62,28
PK.03.107.01,PO02,QUA000031291,5ACEFFF2D6111EDBAF913AC4E1254D39,59
PK.03.108.01,PO02,REC000433594,5ACEFFF2D6111EDBAF91255547FC0CC8,7
PK.03.109.02,PO02,REC000703170,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.03.110.01,PO02,REC000456091,5ACEFFF2D6111EDBAF9120D3C5E74CBD,168
PK.03.112.01,PO02,NAC000140621,5ACEFFF2D6111EECB4F2702C459C1078,78
PK.03.114.02,PO02,REC000700972,5ACEFFF2D6111EDBAF929E356DA18CCD,38
PK.03.115.02,PO02,REC000468877,5ACEFFF2D6111EDBAF913D2F5B6C8D4B,1
PK.03.120.01,PO02,NAC000155077,5ACEFFF2D6111EDBAF9125A907A0CD3A,1
PK.03.121.01,PO02,REC000602579,5ACEFFF2D6111EDBAF964F2239F14CD7,241
PK.03.124.01,PO02,PAL001900401,5ACEFFF2D6111EDBAF9121565C5CCCD7,140
PK.03.125.01,PO02,REC000676434,5ACEFFF2D6111EDBAF9135684CBD8D13,2
PK.03.126.01,PO02,REC000772709,5ACEFFF2D6111EDBAF92A6CA60E10CC8,5
PK.03.127.01,PO02,NAC000158283,5ACEFFF2D6111EDD9CBD3FCAA0F2D3DC,410
PK.03.128.01,PO02,REC000776816,5ACEFFF2D6111EED9D98E6B2A3B9C95E,186
PK.03.129.01,PO02,NAC000147089,5ACEFFF2D6111EEC94D545B4AAE6DEE0,23
PK.03.130.01,PO02,REC000731432,5ACEFFF2D6111EDBAF92AD47CC77CCDE,144
PK.04.005.01,PO02,REC000579296,5ACEFFF2D6111EDBAF92ACDA5CDA4CE4,432
PK.04.005.02,PO02,NAC000152958,5ACEFFF2D6111EDBAF913321BAC08D67,706
PK.04.006.01,PO02,REC000766934,5ACEFFF2D6111EDBAF92A0C5FDC98CD7,36
PK.04.006.02,PO02,REC000702817,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.04.007.01,PO02,REC000590708,5ACEFFF2D6111EDBAF92AA1EF4168CCF,42
PK.04.008.01,PO02,REC000735208,5ACEFFF2D6111EDBAF928EA50A9BCCCB,131
PK.04.010.01,PO02,NAC000166477,5ACEFFF2D6111EDBAF91200FEED5CD1F,94
PK.04.010.02,PO02,REC000636979,5ACEFFF2D6111EDBAF912845A4DA4D2B,11
PK.04.011.02,PO02,REC000683300,5ACEFFF2D6111EDBAF9120F6D8A24CDA,1
PK.04.012.01,PO02,NAC000147492,5ACEFFF2D6111EEC97CD86611A2387C7,9
PK.04.013.01,PO02,NAC000145295,5ACEFFF2D6111EED9099207274A54613,36
PK.04.014.02,PO02,REC000493632,5ACEFFF2D6111EDBAF92A7B0B3EF8D1A,6
PK.04.015.01,PO02,REC000774115,5ACEFFF2D6111EDC95865E8FCBBC454B,4
PK.04.015.02,PO02,REC000702818,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.04.016.01,PO02,REC000758939,5ACEFFF2D6111EDBAF9134CFF7734D67,128
PK.04.017.01,PO02,REC000764419,5ACEFFF2D6111EDBAF92904918558D19,89
PK.04.017.02,PO02,REC000659083,5ACEFFF2D6111EDBAF964540BC680CCA,23
PK.04.018.01,PO02,REC000576778,5ACEFFF2D6111EDBAF913FDA65BC0D36,219
PK.04.019.01,PO02,REC000756358,5ACEFFF2D6111EEC97CD7EA5DF8947C6,46
PK.04.021.01,PO02,NAC000163786,5ACEFFF2D6111EDBAF9673C819EB0CC5,37
PK.04.023.01,PO02,SHL000018205,5ACEFFF2D6111EDBAF965CC50946CCCA,1
PK.04.024.01,PO02,REC000733873,5ACEFFF2D6111EDBAF92A1D02ACB0D38,144
PK.04.025.01,PO02,REC000780025,5ACEFFF2D6111EDBAF92ACFC458BCD1B,58
PK.04.025.02,PO02,REC000767013,5ACEFFF2D6111EDBAF9656FE5102CCCA,220
PK.04.027.01,PO02,REC000754071,5ACEFFF2D6111EDBAF92A0E9A7BBCD00,48
PK.04.027.02,PO02,REC000702827,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.04.028.01,PO02,REC000769234,5ACEFFF2D6111EDBAF9290D14A8E0CCE,29
PK.04.029.01,PO02,REC000776039,5ACEFFF2D6111EDBAF96572347174CBF,57
PK.04.030.01,PO02,REC000706758,5ACEFFF2D6111EDBAF92AC313A6A4D26,44
PK.04.032.01,PO02,NAC000140657,5ACEFFF2D6111EDDA9928849749180AE,225
PK.04.033.01,PO02,REC000775384,5ACEFFF2D6111EDBAF987044053B4CDA,274
PK.04.035.01,PO02,NAC000145294,5ACEFFF2D6111EED9099207274A54613,1
PK.04.043.01,PO02,REC000743198,5ACEFFF2D6111EDBAF91357EE686CCE3,22
PK.04.043.02,PO02,REC000703164,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.04.044.01,PO02,REC000770587,5ACEFFF2D6111EDBAF9130112F530CC5,126
PK.04.044.02,PO02,REC000648052,5ACEFFF2D6111EDC9BF84A208C108D87,21
PK.04.045.01,PO02,REC000703174,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.04.045.02,PO02,REC000733509,5ACEFFF2D6111EDC969F0C8B0A38D59D,250
PK.04.046.02,PO02,REC000702801,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.04.047.01,PO02,NAC000163148,5ACEFFF2D6111EDBAF964FEDE972CD65,41
PK.04.047.02,PO02,REC000709769,5ACEFFF2D6111EDBAF9671F62796CD1B,24
PK.04.048.01,PO02,REC000761628,5ACEFFF2D6111EDBAF91437C59F8CCDA,131
PK.04.048.02,PO02,REC000664606,5ACEFFF2D6111EDBAF92A7DF7DA90D0F,31
PK.04.049.01,PO02,NAC000164883,5ACEFFF2D6111EDD8186D07A99EF84B5,35
PK.04.050.01,PO02,REC000775294,5ACEFFF2D6111EDBAF92A4D7B1ABCCC8,253
PK.04.050.02,PO02,REC000765789,5ACEFFF2D6111EDBAF913AED71958D69,3
PK.04.051.01,PO02,00000000006000249120,5ACEFFF2D6111EDBAF911F17EC5A0CC8,13270
PK.04.051.02,PO02,NAC000159799,5ACEFFF2D6111EDCB2F673A1E62C9778,67
PK.04.052.02,PO02,00000000006000353137,5ACEFFF2D6111EDBAF964FAFE96E8D3B,6
PK.04.053.01,PO02,NAC000157244,5ACEFFF2D6111EEDA4D02E359C920E1E,158
PK.04.053.02,PO02,NAC000092422,5ACEFFF2D6111EDBAF9133B4A00F4CC5,157
PK.04.054.01,PO02,REC000759407,5ACEFFF2D6111EDBAF92AB9703FB8D49,23
PK.04.055.01,PO02,REC000768191,5ACEFFF2D6111EDBAF92919B0EFC8D2A,246
PK.04.056.01,PO02,REC000753652,5ACEFFF2D6111EDBAF92ABC8DF58CD4C,41
PK.04.057.01,PO02,REC000733930,5ACEFFF2D6111EDC9BF849EC35D28D32,3
PK.04.058.01,PO02,NAC000137445,5ACEFFF2D6111EECB4F2702C459C1078,239
PK.04.058.02,PO02,REC000450266,5ACEFFF2D6111EDBAF964FA2746E8D2E,3
PK.04.059.01,PO02,REC000748529,5ACEFFF2D6111EDC9BF84A3EFA6A8D80,1
PK.04.060.01,PO02,REC000689653,5ACEFFF2D6111EDBAF9130CA37C08CCD,137
PK.04.060.02,PO02,NAC000165093,5ACEFFF2D6111EEDBDC9C09BB2508C5D,69
PK.04.061.01,PO02,REC000778014,5ACEFFF2D6111EDBAF912A671052CCC4,30
PK.04.062.01,PO02,REC000774628,5ACEFFF2D6111EEC94D541A8F4091F48,189
PK.04.063.01,PO02,REC000776815,5ACEFFF2D6111EED9D98E69FA5E7895E,6
PK.04.064.01,PO02,NAC000152543,5ACEFFF2D6111EEDA4E9601DC7A211C1,98
PK.04.064.02,PO02,REC000670185,5ACEFFF2D6111EDBAF92AAA471F0CD3C,81
PK.04.065.01,PO02,REC000769593,5ACEFFF2D6111EEC94D54193FDC91F35,114
PK.04.066.01,PO02,REC000655156,5ACEFFF2D6111EDBAF92A0C56FF9CD20,204
PK.04.067.01,PO02,REC000747092,5ACEFFF2D6111EDBAF92A4418F430D33,270
PK.04.069.01,PO02,REC000782312,5ACEFFF2D6111EDBAF91259901B94D3C,792
PK.04.071.01,PO02,REC000747789,5ACEFFF2D6111EDBAF96735D5CAC8D1B,35
PK.04.073.01,PO02,REC000746936,5ACEFFF2D6111EDBAF964C2D89AE8D47,20
PK.04.073.02,PO02,REC000658920,5ACEFFF2D6111EDCA2B6157A93939840,28
PK.04.074.01,PO02,REC000694695,5ACEFFF2D6111EDBAF91289C8D260CC8,102
PK.04.075.01,PO02,NAC000159816,5ACEFFF2D6111EEC89FCDC6E122F0231,142
PK.04.075.02,PO02,NAC000143712,5ACEFFF2D6111EDD97893925219B4B40,19
PK.04.076.01,PO02,NAC000134615,5ACEFFF2D6111EECB4D8BB458916CE24,22
PK.04.076.02,PO02,NAC000101978,5ACEFFF2D6111EDBAF967379D6820D2E,38
PK.04.077.01,PO02,NAC000145975,5ACEFFF2D6111EDBAF96758FE4CA0D65,20
PK.04.078.01,PO02,NAC000163944,5ACEFFF2D6111EDDB3AE20E921E58606,36
PK.04.083.02,PO02,REC000627061,5ACEFFF2D6111EDBAF913DE1CDBE4CC2,125
PK.04.084.02,PO02,REC000262235,5ACEFFF2D6111EDBAF9648B8444D4D6A,36
PK.04.085.01,PO02,REC000752231,5ACEFFF2D6111EEC9FD60AAA66691355,26
PK.04.085.02,PO02,REC000667945,5ACEFFF2D6111EDBAF92A81594B88CD3,74
PK.04.086.01,PO02,SHL000019509,5ACEFFF2D6111EDBAF92A25996544D30,114
PK.04.086.02,PO02,REC000585674,5ACEFFF2D6111EDBAF92A017A58A8CC9,80
PK.04.087.01,PO02,SHL000007371,5ACEFFF2D6111EDBAF92AA64156ACD26,225
PK.04.088.01,PO02,NAC000140730,5ACEFFF2D6111EDCA283C990C41A53CE,170
PK.04.089.01,PO02,REC000702071,5ACEFFF2D6111EDBAF92A1D5A97CCCDD,257
PK.04.090.01,PO02,REC000756074,5ACEFFF2D6111EDC9BF849EC8916CCF1,25
PK.04.091.01,PO02,NAC000163001,5ACEFFF2D6111EDBAF9672D99A9B0CBD,2
PK.04.091.02,PO02,REC000429537,5ACEFFF2D6111EDBAF913826E49B8D21,224
PK.04.092.01,PO02,REC000724561,5ACEFFF2D6111EDBAF92A8306B40CD16,34
PK.04.093.01,PO02,REC000636843,5ACEFFF2D6111EDBAF913EFFA8730CCB,165
PK.04.094.01,PO02,SHL000017911,5ACEFFF2D6111EDBAF964CC416510D2B,120
PK.04.095.01,PO02,REC000781026,5ACEFFF2D6111EDBAF92AB8FBC0FCCC9,140
PK.04.095.02,PO02,SHL000004470,5ACEFFF2D6111EDBAF92A814229F8CC8,28
PK.04.096.01,PO02,REC000694002,5ACEFFF2D6111EDBAF92A263283C8D5F,36
PK.04.097.01,PO02,REC000780734,5ACEFFF2D6111EDBAF92A91C1BE74CC8,214
PK.04.098.01,PO02,REC000532481,5ACEFFF2D6111EDBAF92A11976410D20,222
PK.04.099.01,PO02,NAC000159272,5ACEFFF2D6111EDBAF96640710098CEB,25
PK.04.100.01,PO02,REC000765287,5ACEFFF2D6111EED9AE88E6EF9115F3D,40
PK.04.100.02,PO02,DEV000025096,5ACEFFF2D6111EDBAF92A8306B40CD16,13
PK.04.101.01,PO02,NAC000163460,5ACEFFF2D6111EDD869736F220AC917F,195
PK.04.103.01,PO02,REC000718553,5ACEFFF2D6111EDBAF96568A216E8CD0,180
PK.04.105.01,PO02,00000000006000161045,5ACEFFF2D6111EDBAF92A84F2BA40D50,9
PK.04.108.01,PO02,REC000682854,5ACEFFF2D6111EDBAF966F45B0AF4D14,36
PK.04.109.01,PO02,NAC000125541,5ACEFFF2D6111EDCA2B614F0C95197A8,10
PK.04.109.02,PO02,REC000702377,5ACEFFF2D6111EDBAF96737F45E64CE1,153
PK.04.111.02,PO02,REC000737268,5ACEFFF2D6111EDBAF905847705C8D36,12
PK.04.113.01,PO02,NAC000127133,5ACEFFF2D6111EEC98B3303A48140EE7,5
PK.04.114.01,PO02,NAC000164623,5ACEFFF2D6111EEDA4E96021DBA091D6,36
PK.04.115.01,PO02,NAC000155885,5ACEFFF2D6111EDDA69959069E6B08D2,1950
PK.04.116.01,PO02,NAC000132202,5ACEFFF2D6111EDBAF966757882FCCDA,5
PK.04.117.01,PO02,REC000735667,5ACEFFF2D6111EDBAF9674F78633CCCD,7
PK.04.118.01,PO02,REC000767192,5ACEFFF2D6111EDBAF92A43D9AF8CD10,48
PK.04.118.02,PO02,SHL000012533,5ACEFFF2D6111EDBAF9299957C5F8CC6,79
PK.04.119.01,PO02,REC000691070,5ACEFFF2D6111EDBAF928EB01D278D6A,1
PK.04.120.01,PO02,REC000532410,5ACEFFF2D6111EDBAF92A0D6E55ECD20,150
PK.04.121.01,PO02,REC000772561,5ACEFFF2D6111EDBAF91613CB1970D01,163
PK.04.122.01,PO02,QUA000039043,5ACEFFF2D6111EDBAF92A9E94D0C8CD7,394
PK.04.123.01,PO02,NAC000120390,5ACEFFF2D6111EDC95D3B3B88E118A94,3
PK.04.124.01,PO02,REC000533602,5ACEFFF2D6111EDBAF92A0C74C568CFF,144
PK.04.125.01,PO02,REC000770244,5ACEFFF2D6111EDCA1860F3B80784785,60
PK.04.126.01,PO02,REC000776817,5ACEFFF2D6111EED9D98E6BAC68C495E,246
PK.04.127.01,PO02,REC000769326,5ACEFFF2D6111EDBAF9132494E298D68,60
PK.04.128.01,PO02,REC000630218,5ACEFFF2D6111EDBAF92ABAFBE170CCB,204
PK.04.129.01,PO02,REC000776538,5ACEFFF2D6111EEDA08DD6D8567C07EF,1788
PK.04.129.02,PO02,REC000702822,5ACEFFF2D6111EDC96D16CABF92A5D24,18
PK.04.130.01,PO02,L00003454032,5ACEFFF2D6111EDBAF9656C4BFE1CCBD,2
PK.05.006.02,PO02,AVARREC00233,5ACEFFF2D6111EDBAF92AA3EDE85CD50,250
PK.05.007.02,PO02,REC000648505,5ACEFFF2D6111EDBAF967B5DE7C74CEF,50
PK.05.008.02,PO02,NAC000134230,5ACEFFF2D6111EDBAF966E0F7F24CCBD,13
PK.05.009.02,PO02,NAC000120126,5ACEFFF2D6111EEC89FC50BEAD0D41B3,9
PK.05.012.02,PO02,REC000678080,5ACEFFF2D6111EDBAF92A1D6C4A44CC5,142
PK.05.013.02,PO02,REC000730498,5ACEFFF2D6111EDBAF96454B1A1E0CBF,54
PK.05.015.02,PO02,REC000641524,5ACEFFF2D6111EDBAF96792CEA8E4CD6,532
PK.05.017.02,PO02,REC000703392,5ACEFFF2D6111EDBAF92A8537C9C8CD6,7
PK.05.018.02,PO02,NAC000144989,5ACEFFF2D6111EDBAF96667D47DCCD29,1
PK.05.021.02,PO02,REC000733430,5ACEFFF2D6111EDBAF92A6EAD572CD50,72
PK.05.022.02,PO02,REC000654906,5ACEFFF2D6111EDC9BF848E209BC0CD3,15
PK.05.023.02,PO02,REC000761045,5ACEFFF2D6111EDBAF967A223AC54CCB,3635
PK.05.029.02,PO02,REC000262236,5ACEFFF2D6111EDBAF9648B8444D4D6A,36
PK.05.030.02,PO02, ,5ACEFFF2D6111EED90FDB5CEB64F94AE,1081
PK.05.031.02,PO02,REC000506029,5ACEFFF2D6111EEC94D51D9350B91ECF,2
PK.05.032.02,PO02,NAC000115452,5ACEFFF2D6111EDBAF96774497DE0CD5,24
PK.05.034.02,PO02,REC000610757,5ACEFFF2D6111EDBAF96467FF7A74D3D,16
PK.05.036.02,PO02,NAC000145314,5ACEFFF2D6111EECAE821E6E3EEA00C5,4
PK.05.043.02,PO02,REC000764017,5ACEFFF2D6111EDBAF9679ADAA2A4D56,172
PK.05.044.02,PO02,NAC000148844,5ACEFFF2D6111EEC89FC5265DF48C201,1
PK.05.045.02,PO02,REC000774811,5ACEFFF2D6111EDBAF92AD4E0BCC8D66,18
PK.05.046.02,PO02,REC000746538,5ACEFFF2D6111EDBAF92A96818CF0D0E,60
PK.05.047.02,PO02,REC000687050,5ACEFFF2D6111EDBAF92A40AD4F08D10,14
PK.05.048.02,PO02,NAC000165490,5ACEFFF2D6111EDBAF9676C06D844D63,80
PK.05.049.02,PO02,NAC000155388,5ACEFFF2D6111EDBAF967403BD188CCB,9
PK.05.050.02,PO02,NAC000162901,5ACEFFF2D6111EDBAF96765BC7EBCD5D,96
PK.05.051.02,PO02,REC000666216,5ACEFFF2D6111EDBAF964847E173CD6A,28
PK.05.052.02,PO02,REC000766096,5ACEFFF2D6111EDBAF967A00FE068D24,368
PK.05.054.02,PO02,REC000649890,5ACEFFF2D6111EDBAF92A848C52A0CD3,51
PK.05.055.02,PO02,REC000768819,5ACEFFF2D6111EDBAF9674E3CDDCCD65,2
PK.05.056.02,PO02,REC000454805,5ACEFFF2D6111EDBAF9674C26F180CD6,154
PK.05.057.02,PO02,L00006560271,5ACEFFF2D6111EDBAF92A10272D40D61,36
PK.05.058.02,PO02,REC000758896,5ACEFFF2D6111EDBAF96476CDF210D78,1491
PK.05.059.02,PO02,NAC000157434,5ACEFFF2D6111EDBAF986E41E7200CDA,28
PK.05.060.02,PO02,REC000601481,5ACEFFF2D6111EDBAF92AAF159FCCCD6,22
PK.05.061.02,PO02,REC000695279,5ACEFFF2D6111EDBAF92AAA5BBD18D02,37
PK.05.062.02,PO02,REC000466476,5ACEFFF2D6111EDBAF9648B8444D4D6A,120
PK.05.064.02,PO02,NAC000144756,5ACEFFF2D6111EDBAF9140E6A9B38D4B,1731
PK.05.065.02,PO02,REC000769605,5ACEFFF2D6111EDBAF913DA4AAD5CCCB,2
